source,target,value
Kilava Onass,Onak Shendok,2
Kilava Onass,Onos T'oolan,2
Korlat,Orfantal,7
Korlat,Serrat,7
Kruppe,Krute of Talient,14
Kruppe,Lady Orr,121
Kruppe,Lady of Beggars,109
Kruppe,Mammot,210
Kruppe,Meese,67
Kruppe,Murillio,386
Kruppe,Ocelot,21
Kruppe,Onos T'oolan,13
Kruppe,Oponn,135
Kruppe,Osserc,2
Kruppe,Pannion Seer,9
Kruppe,Pran Chole,83
Kruppe,Quick Ben,10
Kruppe,Raest,32
Kruppe,Rallick Nom,528
Kruppe,Roald,42
Kruppe,Scurve,27
Kruppe,Silanah,61
Kruppe,Simtal,50
Kruppe,Sorry,20
Kruppe,Sulty,72
Kruppe,Tarlow,2
Kruppe,Tattersail,89
Kruppe,Turban Orr,133
Kruppe,Vorcan,56
Kruppe,Whiskeyjack,6
Krute of Talient,Mammot,8
Krute of Talient,Murillio,24
Krute of Talient,Rallick Nom,22
Lady Orr,Lady of Beggars,42
Lady Orr,Lim,15
Lady Orr,Lorn,2
Lady Orr,Mallet,5
Lady Orr,Mammot,5
Lady Orr,Murillio,31
Lady Orr,Ocelot,3
Lady Orr,Oponn,25
Lady Orr,Quick Ben,5
Lady Orr,Raest,2
Lady Orr,Rallick Nom,77
Lady Orr,Roald,3
Lady Orr,Shadowthrone Ammanas,6
Lady Orr,Simtal,33
Lady Orr,Sorry,3
Lady Orr,Sulty,3
Lady Orr,Tattersail,36
Lady Orr,Tayschrenn,20
Lady Orr,Turban Orr,85
Lady Orr,Vorcan,7
Lady Orr,Whiskeyjack,7
Lady of Beggars,Lim,8
Lady of Beggars,Lorn,2
Lady of Beggars,Mallet,5
Lady of Beggars,Mammot,4
Lady of Beggars,Murillio,29
Lady of Beggars,Oponn,25
Lady of Beggars,Quick Ben,3
Lady of Beggars,Rallick Nom,39
Lady of Beggars,Roald,3
Lady of Beggars,Shadowthrone Ammanas,6
Lady of Beggars,Simtal,13
Lady of Beggars,Sorry,3
Lady of Beggars,Sulty,2
Lady of Beggars,Tattersail,36
Lady of Beggars,Tayschrenn,18
Lady of Beggars,Turban Orr,21
Lady of Beggars,Vorcan,2
Lady of Beggars,Whiskeyjack,4
Laseen,Logros,3
Laseen,Lorn,67
Laseen,Mallet,15
Laseen,Mammot,9
Laseen,Mother Dark,2
Laseen,Napan tutor,12
Laseen,Nedurian,5
Laseen,Onos T'oolan,2
Laseen,Oponn,45
Laseen,Pannion Seer,7
Laseen,Quick Ben,37
Laseen,Rigga,25
Laseen,Roald,3
Laseen,Rood,2
Laseen,Rope Cotillion,6
Laseen,Scurve,7
Laseen,Shadowthrone Ammanas,36
Laseen,Sorry,17
Laseen,Sulty,4
Laseen,Surly,8
Laseen,Tattersail,135
Laseen,Tayschrenn,67
Laseen,Toc  the Elder ,5
Laseen,Toc the Younger,7
Laseen,Topper,22
Laseen,Trotts,6
Laseen,Vorcan,11
Laseen,Whiskeyjack,43
Lim,Ocelot,9
Lim,Osserc,2
Lim,Rallick Nom,42
Lim,Simtal,21
Lim,Talo Krafar,2
Lim,Turban Orr,21
Lim,Vorcan,6
Logros,Lorn,19
Logros,Olar Ethil,3
Logros,Onak Shendok,3
Logros,Onos T'oolan,3
Logros,Oponn,2
Logros,Tayschrenn,3
Lord of the Galayn,Lorn,5
Lord of the Galayn,Mallet,6
Lord of the Galayn,Oponn,2
Lord of the Galayn,Quick Ben,4
Lord of the Galayn,Serrat,2
Lord of the Galayn,Silanah,4
Lord of the Galayn,Simtal,3
Lord of the Galayn,Tayschrenn,13
Lord of the Galayn,Trotts,3
Lord of the Galayn,Whiskeyjack,6
Lorn,Mallet,45
Lorn,Meese,5
Lorn,Nightchill,5
Lorn,Olar Ethil,7
Lorn,Onak Shendok,7
Lorn,Onos T'oolan,45
Lorn,Oponn,118
Lorn,Picker,8
Lorn,Quick Ben,16
Lorn,Scurve,4
Lorn,Shadowthrone Ammanas,51
Lorn,Sorry,25
Lorn,Sulty,5
Lorn,Tattersail,169
Lorn,Tayschrenn,169
Lorn,Toc  the Elder ,59
Lorn,Toc the Younger,105
Lorn,Trotts,14
Lorn,Whiskeyjack,90
Mallet,Mammot,2
Mallet,Oponn,20
Mallet,Pannion Seer,11
Mallet,Picker,16
Mallet,Quick Ben,117
Mallet,Rope Cotillion,9
Mallet,Scurve,7
Mallet,Shadowthrone Ammanas,25
Mallet,Simtal,5
Mallet,Sorry,69
Mallet,Stillis,5
Mallet,Sulty,8
Mallet,Tattersail,52
Mallet,Tayschrenn,38
Mallet,Toc  the Elder ,3
Mallet,Toc the Younger,4
Mallet,Trotts,61
Mallet,Whiskeyjack,143
Mammot,Meese,18
Mammot,Moby,27
Mammot,Murillio,95
Mammot,Ocelot,2
Mammot,Oponn,18
Mammot,Osserc,10
Mammot,Pannion Seer,6
Mammot,Quick Ben,33
Mammot,Rallick Nom,128
Mammot,Roald,10
Mammot,Sandenay,18
Mammot,Scurve,2
Mammot,Silanah,20
Mammot,Simtal,17
Mammot,Sorry,4
Mammot,Sulty,10
Mammot,Travale,3
Mammot,Turban Orr,9
Mammot,Vorcan,47
Mammot,Whiskeyjack,11
Meese,Moby,14
Meese,Murillio,18
Meese,Ocelot,10
Meese,Oponn,17
Meese,Pannion Seer,3
Meese,Quick Ben,2
Meese,Rallick Nom,45
Meese,Scurve,20
Meese,Sorry,40
Meese,Sulty,10
Meese,Turban Orr,11
Meese,Whiskeyjack,2
Moby,Rallick Nom,9
Moby,Sandenay,5
Moby,Sorry,4
Mother Dark,Oponn,12
Mother Dark,Rood,2
Mother Dark,Shadowthrone Ammanas,10
Mother Dark,Tattersail,2
Murillio,Ocelot,32
Murillio,Oponn,25
Murillio,Pannion Seer,6
Murillio,Rallick Nom,251
Murillio,Roald,3
Murillio,Scurve,12
Murillio,Silanah,2
Murillio,Simtal,23
Murillio,Sorry,3
Murillio,Sulty,31
Murillio,Tarlow,3
Murillio,Turban Orr,41
Murillio,Vorcan,13
Napan tutor,Nedurian,3
Napan tutor,Surly,5
Napan tutor,Tattersail,35
Napan tutor,Tayschrenn,18
Napan tutor,Topper,5
Nedurian,Tattersail,36
Nedurian,Tayschrenn,19
Nightchill,Quick Ben,3
Nightchill,Tattersail,61
Nightchill,Tayschrenn,28
Nightchill,Toc  the Elder ,5
Nightchill,Toc the Younger,6
Ocelot,Osserc,9
Ocelot,Raest,3
Ocelot,Rallick Nom,228
Ocelot,Scurve,7
Ocelot,Sulty,2
Ocelot,Talo Krafar,9
Ocelot,Tarlow,6
Ocelot,Turban Orr,16
Ocelot,Vorcan,44
Olar Ethil,Onak Shendok,2
Olar Ethil,Onos T'oolan,2
Onak Shendok,Onos T'oolan,2
Onos T'oolan,Oponn,2
Onos T'oolan,Raest,16
Onos T'oolan,Silanah,6
Onos T'oolan,Sorry,3
Onos T'oolan,Tayschrenn,2
Onos T'oolan,Toc  the Elder ,2
Onos T'oolan,Toc the Younger,4
Oponn,Pallick,3
Oponn,Pannion Seer,2
Oponn,Picker,2
Oponn,Quick Ben,59
Oponn,Rallick Nom,23
Oponn,Roald,6
Oponn,Rood,15
Oponn,Rope Cotillion,3
Oponn,Scurve,13
Oponn,Serrat,12
Oponn,Shadowthrone Ammanas,77
Oponn,Shan,6
Oponn,Sorry,33
Oponn,Sulty,6
Oponn,Tattersail,231
Oponn,Tayschrenn,129
Oponn,Toc  the Elder ,16
Oponn,Toc the Younger,31
Oponn,Turban Orr,6
Oponn,Vorcan,11
Oponn,Whiskeyjack,55
Orfantal,Serrat,2
Osserc,Rallick Nom,21
Osserc,Roald,2
Osserc,Talo Krafar,2
Osserc,Vorcan,3
Pallick,Quick Ben,20
Pallick,Rood,2
Pallick,Rope Cotillion,2
Pallick,Shadowthrone Ammanas,10
Pallick,Shan,5
Pannion Seer,Quick Ben,4
Pannion Seer,Rigga,24
Pannion Seer,Rope Cotillion,5
Pannion Seer,Shadowthrone Ammanas,17
Pannion Seer,Sorry,3
Pannion Seer,Tayschrenn,2
Pannion Seer,Trotts,2
Pannion Seer,Whiskeyjack,18
Pearl,Quick Ben,23
Pearl,Tayschrenn,10
Picker,Quick Ben,9
Picker,Tattersail,19
Picker,Tayschrenn,3
Pran Chole,Rallick Nom,18
Pran Chole,Tattersail,22
Quick Ben,Rallick Nom,15
Quick Ben,Rood,20
Quick Ben,Rope Cotillion,20
Quick Ben,Shadowthrone Ammanas,83
Quick Ben,Shan,23
Quick Ben,Simtal,6
Quick Ben,Sorry,116
Quick Ben,Stillis,6
Quick Ben,Tattersail,258
Quick Ben,Tayschrenn,155
Quick Ben,Toc the Younger,2
Quick Ben,Trotts,69
Quick Ben,Turban Orr,2
Quick Ben,Whiskeyjack,206
Raest,Rallick Nom,12
Raest,Silanah,28
Raest,Turban Orr,3
Raest,Vorcan,3
Rallick Nom,Roald,3
Rallick Nom,Sandenay,2
Rallick Nom,Scurve,27
Rallick Nom,Silanah,4
Rallick Nom,Simtal,51
Rallick Nom,Sorry,5
Rallick Nom,Sulty,45
Rallick Nom,Talo Krafar,21
Rallick Nom,Tarlow,21
Rallick Nom,Tattersail,6
Rallick Nom,Travale,4
Rallick Nom,Turban Orr,127
Rallick Nom,Vorcan,136
Rigga,Rope Cotillion,23
Rigga,Shadowthrone Ammanas,30
Roald,Turban Orr,5
Roald,Vorcan,10
Rood,Rope Cotillion,2
Rood,Shadowthrone Ammanas,20
Rood,Shan,5
Rood,Tattersail,2
Rope Cotillion,Shadowthrone Ammanas,21
Rope Cotillion,Shan,5
Rope Cotillion,Sorry,3
Scurve,Shadowthrone Ammanas,2
Scurve,Sorry,10
Scurve,Sulty,3
Scurve,Tarlow,3
Scurve,Tattersail,7
Scurve,Tayschrenn,6
Scurve,Vorcan,5
Scurve,Whiskeyjack,10
Serrat,Silanah,4
Serrat,Tayschrenn,8
Shadowthrone Ammanas,Shan,13
Shadowthrone Ammanas,Sorry,21
Shadowthrone Ammanas,Sulty,3
Shadowthrone Ammanas,Tattersail,150
Shadowthrone Ammanas,Tayschrenn,53
Shadowthrone Ammanas,Toc  the Elder ,5
Shadowthrone Ammanas,Toc the Younger,7
Shadowthrone Ammanas,Trotts,8
Shadowthrone Ammanas,Whiskeyjack,35
Simtal,Stillis,2
Simtal,Sulty,3
Simtal,Tayschrenn,2
Simtal,Trotts,5
Simtal,Turban Orr,48
Simtal,Vorcan,14
Simtal,Whiskeyjack,2
Sorry,Sulty,3
Sorry,Tattersail,92
Sorry,Tayschrenn,44
Sorry,Toc the Younger,2
Sorry,Trotts,28
Sorry,Whiskeyjack,114
Stillis,Trotts,5
Stillis,Whiskeyjack,2
Sulty,Tattersail,6
Sulty,Tayschrenn,7
Sulty,Turban Orr,5
Sulty,Whiskeyjack,11
Surly,Topper,9
Surly,Whiskeyjack,4
Talo Krafar,Vorcan,11
Tarlow,Vorcan,4
Tattersail,Tayschrenn,474
Tattersail,Toc  the Elder ,55
Tattersail,Toc the Younger,101
Tattersail,Trotts,2
Tattersail,Whiskeyjack,233
Tayschrenn,Toc  the Elder ,27
Tayschrenn,Toc the Younger,68
Tayschrenn,Trotts,5
Tayschrenn,Turban Orr,2
Tayschrenn,Whiskeyjack,148
Toc  the Elder ,Toc the Younger,31
Toc  the Elder ,Whiskeyjack,12
Toc the Younger,Whiskeyjack,22
Topper,Whiskeyjack,9
Travale,Vorcan,16
Trotts,Whiskeyjack,67
Turban Orr,Vorcan,13
Turban Orr,Whiskeyjack,3
